Garden Latitude,Garden Longitude,Kind,fracDate Collected,Country
42.3054718,-71.12013222,maple,1984.78142077,United States
42.29332546,-71.12628428,ash,,"Korea, Republic of"
42.2955563,-71.12247861,beech,1985.81369863,United States
42.30690407,-71.12148755,sequoia,1979.89863014,United States
42.29943526,-71.1216637,false-arborvitae,,
42.29356401,-71.1250443,hawthorn,,United States
42.29779167,-71.1274811,fir,1985.81369863,United States
42.30215088,-71.12401559,birch,,United States
42.30112749,-71.11885504,pine,1963.70684932,United States
42.30578941,-71.12006287,magnolia,1977.68219178,Japan
42.29739994,-71.12596597,hemlock,,
42.30066491,-71.12701154,wingnut,,
42.29693652,-71.1260685,hemlock,,
42.29803456,-71.12057862,oak,1977.68219178,Japan
42.29737798,-71.12596241,hemlock,,
42.29517909,-71.12252805,arborvitae,,
42.29322438,-71.1258798,,,
42.29894956,-71.12205853,maple,,"Korea, Republic of"
42.29722544,-71.12631076,hemlock,,
42.29734583,-71.12620285,hemlock,,
42.29405851,-71.12497118,hawthorn,,United States
42.29733232,-71.12626947,hemlock,,
42.29409489,-71.12980054,oak,,
42.30576679,-71.12007765,magnolia,1977.68219178,Japan
42.29726644,-71.12626246,hemlock,,
42.29752583,-71.12185579,birch,2002.70684932,China
42.29494843,-71.12273493,oak,,
42.29900029,-71.12403165,hornbeam,,United States
42.30067688,-71.12135676,ash,,"Korea, Republic of"
42.29690596,-71.1259541,hemlock,,
42.29505362,-71.12706992,oak,1977.70684932,Japan
42.29888731,-71.12539464,spruce,,
42.29733648,-71.12585915,hemlock,,
42.29321809,-71.12834584,sycamore,,
42.29667792,-71.12646221,hemlock,,
42.2972633,-71.1261405,hemlock,,
42.29505074,-71.12835989,,,
42.29946852,-71.12073156,,,
