fracDate Collected,Collector,Kind
1917.55616438,"Wilson, E. H.",pine
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
1911.49863014,"Wilson, E. H.",spruce
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Bretschneider, E.",mountain-ash
,"Purdom, W.",spruce
,,honeysuckle
1994.72054795,NACPEC '94,stewartia
1994.74794521,NACPEC '94,maple
1994.74794521,NACPEC '94,maple
1911.49863014,"Wilson, E. H.",spruce
1911.49863014,"Wilson, E. H.",spruce
1911.49863014,"Wilson, E. H.",spruce
1909.49863014,"Wilson, E. H.",spruce
1909.49863014,"Wilson, E. H.",spruce
1911.49863014,"Wilson, E. H.",spruce
1911.49863014,"Wilson, E. H.",fir
1994.72054795,NACPEC '94,
1907.49863014,"Wilson, E. H.",
2009.64109589,"Wang, Kang",ash
1994.73150685,NACPEC '94,pear
2008.71311475,Wang,maple
1994.70410959,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",
1908.5,"Wilson, E. H.",pear
,"Bretschneider, E.",pear
1907.49863014,"Wilson, E. H.",tree
1908.5,"Wilson, E. H.",pear
,"Cheng, W.C.",redwood
1911.49863014,"Wilson, E. H.",beech
1908.5,"Wilson, E. H.",nashi
,"Wilson, E. H.",birch
,"Cheng, W.C.",redwood
1911.49863014,"Wilson, E. H.",beech
1994.74246575,NACPEC '94,oak
1926.49863014,"Rock, J. F.",spruce
1994.75068493,NACPEC '94,zelkova
2009.64109589,"Wang, Kang",ash
1911.49863014,"Wilson, E. H.",fir
,"Bretschneider, Dr. E.",pear
1994.70684932,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",oak
1913.7890411,"Meyer, F. N.",chestnut
2008.71311475,Wang,maple
2008.71311475,Wang,maple
1994.70410959,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",
1994.70410959,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",
1994.73150685,Cui,mountain-ash
,"Cheng, W.C.",redwood
,"Cheng, W.C.",redwood
,"Cheng, W.C.",redwood
,"Cheng, W.C.",redwood
1995.28493151,,
1932.70765027,"Rock, J. F.",crabapple
1995.28493151,,
,,spruce
,,spruce
1994.74794521,NACPEC '94,maple
2008.71311475,Wang,
1994.70410959,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",
1908.5,"Wilson, E. H.",juniper
,"Purdom, W.",larch
,"Purdom, W.",larch
